sample population group sex
HG00759_1 CDX CDX 1
HG00759_2 CDX CDX 1
HG00766_1 CDX CDX 1
HG00766_2 CDX CDX 1
HG00844_1 CDX CDX 1
HG00844_2 CDX CDX 1
HG00851_1 CDX CDX 1
HG00851_2 CDX CDX 1
HG00864_1 CDX CDX 1
HG00864_2 CDX CDX 1
HG00867_1 CDX CDX 1
HG00867_2 CDX CDX 1
HG00879_1 CDX CDX 1
HG00879_2 CDX CDX 1
HG00881_1 CDX CDX 1
HG00881_2 CDX CDX 1
HG00956_1 CDX CDX 1
HG00956_2 CDX CDX 1
HG00978_1 CDX CDX 1
HG00978_2 CDX CDX 1
HG00982_1 CDX CDX 1
HG00982_2 CDX CDX 1
HG01028_1 CDX CDX 1
HG01028_2 CDX CDX 1
HG01029_1 CDX CDX 1
HG01029_2 CDX CDX 1
HG01031_1 CDX CDX 1
HG01031_2 CDX CDX 1
HG01046_1 CDX CDX 1
HG01046_2 CDX CDX 1
HG01047_1 PUR PUR 1
HG01047_2 PUR PUR 1
HG01048_1 PUR PUR 1
HG01048_2 PUR PUR 1
HG01049_1 PUR PUR 1
HG01049_2 PUR PUR 1
HG01050_1 PUR PUR 1
HG01050_2 PUR PUR 1
HG01051_1 PUR PUR 1
HG01051_2 PUR PUR 1
HG01052_1 PUR PUR 1
HG01052_2 PUR PUR 1
HG01053_1 PUR PUR 1
HG01053_2 PUR PUR 1
HG01054_1 PUR PUR 1
HG01054_2 PUR PUR 1
HG01055_1 PUR PUR 1
HG01055_2 PUR PUR 1
HG01056_1 PUR PUR 1
HG01056_2 PUR PUR 1
HG01058_1 PUR PUR 1
HG01058_2 PUR PUR 1
HG01060_1 PUR PUR 1
HG01060_2 PUR PUR 1
HG01061_1 PUR PUR 1
HG01061_2 PUR PUR 1
HG01062_1 PUR PUR 1
HG01062_2 PUR PUR 1
HG01063_1 PUR PUR 1
HG01063_2 PUR PUR 1
HG01064_1 PUR PUR 1
HG01064_2 PUR PUR 1
HG01066_1 PUR PUR 1
HG01066_2 PUR PUR 1
HG01067_1 PUR PUR 1
HG01067_2 PUR PUR 1
HG01068_1 PUR PUR 1
HG01068_2 PUR PUR 1
HG01069_1 PUR PUR 1
HG01069_2 PUR PUR 1
HG01070_1 PUR PUR 1
HG01070_2 PUR PUR 1
HG01071_1 PUR PUR 1
HG01071_2 PUR PUR 1
HG01072_1 PUR PUR 1
HG01072_2 PUR PUR 1
HG01073_1 PUR PUR 1
HG01073_2 PUR PUR 1
HG01074_1 PUR PUR 1
HG01074_2 PUR PUR 1
HG01075_1 PUR PUR 1
HG01075_2 PUR PUR 1
HG01077_1 PUR PUR 1
HG01077_2 PUR PUR 1
HG01079_1 PUR PUR 1
HG01079_2 PUR PUR 1
HG01080_1 PUR PUR 1
HG01080_2 PUR PUR 1
HG01081_1 PUR PUR 1
HG01081_2 PUR PUR 1
HG01082_1 PUR PUR 1
HG01082_2 PUR PUR 1
HG01083_1 PUR PUR 1
HG01083_2 PUR PUR 1
HG01084_1 PUR PUR 1
HG01084_2 PUR PUR 1
HG01085_1 PUR PUR 1
HG01085_2 PUR PUR 1
HG01086_1 PUR PUR 1
HG01086_2 PUR PUR 1
HG01087_1 PUR PUR 1
HG01087_2 PUR PUR 1
HG01088_1 PUR PUR 1
HG01088_2 PUR PUR 1
HG01089_1 PUR PUR 1
HG01089_2 PUR PUR 1
HG01092_1 PUR PUR 1
HG01092_2 PUR PUR 1
HG01094_1 PUR PUR 1
HG01094_2 PUR PUR 1
HG01095_1 PUR PUR 1
HG01095_2 PUR PUR 1
HG01096_1 PUR PUR 1
HG01096_2 PUR PUR 1
HG01097_1 PUR PUR 1
HG01097_2 PUR PUR 1
HG01098_1 PUR PUR 1
HG01098_2 PUR PUR 1
HG01099_1 PUR PUR 1
HG01099_2 PUR PUR 1
HG01100_1 PUR PUR 1
HG01100_2 PUR PUR 1
HG01101_1 PUR PUR 1
HG01101_2 PUR PUR 1
HG01102_1 PUR PUR 1
HG01102_2 PUR PUR 1
HG01103_1 PUR PUR 1
HG01103_2 PUR PUR 1
